TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,Lindi,DDD_CAR_C,DDD_CAR_E,DDD_CAR_NW,DDD_CAR_S,DDD_CAR_SE,DDD_CAR_SW,DDD_CAR_W
2025-02-22,22.8,32.6,25.9,87,2.0,4.5,2,263,1,23.46003204557593,0,0,0,0,0,0,1
2025-02-23,22.2,30.4,25.8,85,12.0,5.1,2,100,1,140.7601922734556,0,1,0,0,0,0,0
2025-02-24,23.0,32.2,25.1,90,6.1,2.0,2,307,1,71.55309773900657,0,0,0,0,0,1,0
2025-02-25,22.6,28.2,25.2,90,1.9,3.5,2,188,1,22.28703044329713,1,0,0,0,0,0,0
2025-02-26,23.0,31.0,25.6,89,5.5,0.3,3,141,1,64.5150881253338,1,0,0,0,0,0,0
2025-02-27,22.6,31.6,25.5,88,52.2,4.0,3,170,1,612.3068363895318,0,0,0,0,0,1,0
2025-02-28,23.0,31.4,25.9,86,13.5,5.9,2,174,1,158.3552163076375,0,1,0,0,0,0,0
2025-03-01,23.4,32.0,26.4,84,12.2258064516129,5.7,3,160,1,99.61538461538463,0,1,0,0,0,0,0
2025-03-02,22.9,33.4,26.7,80,12.2258064516129,6.5,2,294,1,99.61538461538463,0,1,0,0,0,0,0
2025-03-03,23.4,33.4,26.9,84,30.5,6.5,2,202,1,248.5127866856099,0,1,0,0,0,0,0
2025-03-04,23.7,32.6,26.9,86,11.5,8.0,2,267,1,93.70154252080374,0,1,0,0,0,0,0
2025-03-05,23.2,33.4,27.5,80,1.0,6.3,2,88,1,8.147960219200325,0,0,0,0,0,1,0
2025-03-06,24.0,32.8,27.4,85,12.2258064516129,6.5,2,208,1,99.61538461538463,0,0,0,0,0,0,1
2025-03-07,24.2,32.8,26.8,84,0.6,5.7,3,300,1,4.888776131520195,0,0,0,1,0,0,0
2025-03-08,9.8,32.8,25.5,89,19.2,5.2,3,101,1,156.4408362086462,0,1,0,0,0,0,0
2025-03-09,23.5,31.0,25.1,91,42.0,4.7,2,273,1,342.2143292064137,0,0,0,0,0,0,1
2025-03-10,23.0,31.6,25.3,89,13.5,3.4,2,270,1,109.9974629592044,0,0,0,0,0,0,1
2025-03-11,23.2,34.2,26.8,85,10.0,2.4,2,179,1,81.47960219200324,0,0,0,1,0,0,0
2025-03-12,23.2,33.4,26.9,83,10.5,6.8,2,241,1,85.55358230160341,0,0,0,0,0,0,1
2025-03-13,23.2,33.5,26.7,82,46.0,4.8,2,297,1,374.806170083215,0,0,0,0,0,0,1
2025-03-14,22.9,33.4,27.1,80,12.2258064516129,5.5,2,269,1,99.61538461538463,0,0,0,0,0,0,1
2025-03-15,23.7,33.0,26.0,87,0.5,6.9,3,86,1,4.073980109600162,0,0,0,0,0,0,1
2025-03-16,22.8,32.0,25.0,90,9.0,5.1,2,280,1,73.33164197280293,0,0,0,0,0,0,1
2025-03-17,23.2,33.3,26.6,85,19.8,2.0,2,283,1,161.3296123401664,0,0,0,0,1,0,0
2025-03-18,23.2,32.0,26.2,83,1.1,3.7,3,284,2,8.962756241120358,0,0,0,0,0,0,1
2025-03-19,23.2,28.2,24.1,93,8.6,4.8,3,304,1,70.07245788512279,0,0,1,0,0,0,0
2025-03-20,22.2,31.2,26.4,84,35.5,0.3,2,282,1,289.2525877816115,0,0,0,0,0,0,1
2025-03-21,23.3,33.0,27.2,81,1.0,7.5,2,284,1,8.147960219200325,0,0,0,0,0,0,1
2025-03-22,24.1,31.4,26.4,84,12.2258064516129,6.9,2,272,2,99.61538461538463,0,0,0,0,0,0,1
