TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,Lindi,DDD_CAR_C,DDD_CAR_E,DDD_CAR_NW,DDD_CAR_S,DDD_CAR_SE,DDD_CAR_SW,DDD_CAR_W
2025-08-18,21.8,32.2,25.1,84,5.396774,8.0,4,170,2,39.0,0,1,0,0,0,0,0
2025-08-19,22.8,31.2,24.0,91,70.0,6.5,3,171,1,62.0,0,0,0,0,0,1,0
2025-08-20,22.0,32.0,25.8,83,88.9,4.8,2,341,1,72.0,0,0,0,0,1,0,0
2025-08-21,22.0,32.6,25.2,82,5.396774,5.9,3,167,2,86.0,0,0,0,0,1,0,0
2025-08-22,21.0,29.8,24.5,82,5.396774,6.4,2,158,1,84.0,0,1,0,0,0,0,0
2025-08-23,20.4,32.8,25.4,78,5.396774,3.1,2,91,1,71.0,0,1,0,0,0,0,0
2025-08-24,20.8,31.4,24.9,79,5.396774,5.5,3,147,2,76.0,0,0,0,0,1,0,0
2025-08-25,20.2,31.2,24.2,80,5.396774,8.0,3,134,2,72.0,0,0,0,0,1,0,0
2025-08-26,22.2,29.8,24.6,79,5.396774,8.0,4,149,2,71.0,0,0,0,1,0,0,0
2025-08-27,21.2,27.9,23.2,91,5.396774,7.9,3,131,2,64.0,0,0,0,0,1,0,0
2025-08-28,22.0,26.4,23.1,90,3.0,3.1,3,194,2,68.0,0,0,0,0,1,0,0
2025-08-29,22.0,28.0,23.9,87,3.0,0.4,4,107,2,78.0,0,0,0,0,1,0,0
2025-08-30,21.2,29.8,25.0,77,5.396774,2.3,4,158,3,68.0,0,0,0,0,1,0,0
2025-08-31,21.8,30.2,24.9,80,5.396774,8.0,3,131,2,79.0,0,0,0,0,1,0,0
